'most Every Morning	00
A Kiss To Build A Dream On	00
A Lonely Man	00
A Mess of Blues - Doc Pomus & Mort Shuman	00
A Spoonful Of Sugar - Mary Poppins	00
A Sunday Kind Of Love	00
A Weaver Of Dreams - Victor Young	00
After You Get What You Want You Don't Want It	00
All Through The Night	00
Am I Blue	00
Apex Blues	00
Atlanta Blues - W.C. Handy	00
Aunt Hagar's Blues	00
Autumn Morning	00
Azure Te [Paris Blues] - Bill Davis	00
Baby, Won't You Please Come Home	00
Back Alley Blues	00
Bag Of Blues	00
Basin Street Blues	00
Beale Street Blues - W.C. Handy	00
Bessie's Blues - John Coltrane	00
Bill Bailey, Won't You Please Come Home	00
Birth Of The Blues - Ray Henderson	00
Blowin' The Blues	00
Blue Sunday - Herb Alpert & Tijuana Brass	00
Blue Tango	00
Blue Train	00
Blue Trane	00
Blues - Django Reinhardt	00
Blues Backstage - Frank Foster	00
Blues Clair - Django Reinhardt	00
Blues Connotation	00
Blues Everywhere - Shirley Scott	00
Blues For A Rainy Afternoon	00
Blues For Alice - Charlie Parker	00
Blues For Barry - Dobbins	00
Blues For Dr. John - Miles Black	00
Blues For Green	00
Blues For Ike - Django Reinhardt	00
Blues For Ophelia	00
Blues In A	00
Blues In D	00
Blues In The Closet - Oscar Pettiford	00
Blues In The Night	00
Blues March	00
Blues My Naughty Sweetie Gives Me	00
Blues My Naughty Sweetie Gives To Me	00
Blues On Sunday - Joshua Redman	00
Blues On The Corner - Mccoy Tyner	00
Blues Riff	00
Blues Riff On Summit Ridge Drive	00
Blues Walk	00
Blues for Art's Sake - Henry Johnson	00
Bluesette [4-4] - Jean 'Toots' Tielemans	00
Boulevard Of Broken Dreams	00
Brown's Ferry Blues	00
Bud's Blues - Sonny Stitt	00
Buddy Bolden Blues	00
Burgundy Street Blues	00
Bye Bye Blues	00
C Jam Blues ['Russian']	00
C Jam Blues [Duke's Place]	00
Canal Street Blues	00
Carolina In The Morning	00
Chega De Saudade [No More Blues] - Antonio Carlos Jobim	00
Chimes Blues	00
Chronic Blues - John Coltrane	00
Come Monday - Jimmy Buffet	00
Come Sunday - Duke Ellington	00
Cool Blues - Charlie Parker	00
Cry Away The Blues	00
Dallas Blues	00
Darn That Dream - Jimmy Van Heusen	00
Davenport Blues	00
Daydream - Duke Ellington & Billy Strayhorn	00
Daydreams Of You	00
Dead Man Blues	00
Deep In A Dream	00
Deep River Blues - W.C. Handy	00
Don't	00
Don't Be Afraid Of Romance - Irving Berlin	00
Don't Be That Way	00
Don't Blame Me	00
Don't Dilly Dally On The Way - Collins & Leigh	00
Don't Explain	00
Don't Fence Me In	00
Don't Get Around Much Anymore - Ellington & Russell	00
Don't Go To Strangers	00
Don't It Make Your Brown Eyes Blue	00
Don't Let It Bother You	00
Don't Let The Sun Catch You Crying	00
Don't Let Your Deal Go Down	00
Don't Roll Those Bloodshot Eyes	00
Don't Sit Under The Apple Tree	00
Don't Take Your Love From Me	00
Don't Worry 'bout Me	00
Don't You Sweetheart Me	00
Dream	00
Dream A Little Dream Of Me	00
Dream Dancing	00
Dreamsville	00
Dreamy - Errol Garner	00
Dreamy Impulse	00
Early Morning Rain	00
East Saint Louis - W.C. Handy	00
Elusive Dreams	00
Ez Blues	00
Farewell Blues	00
Foul Ball Blues	00
Fusion In The Night	00
Garner Blues	00
Ghost	00
Gloomy Sunday	00
Good Morning Heartache - Fisher, Higginbotham & Drake	00
Good Morning To Your Nightcap	00
Got The Sun In The Morning	00
Happy Blues - Gene Ammons	00
Happy Days And Lonely Nights	00
Have You Ever Been Lonely	00
Hesitating Blues - W.C. Handy	00
Hill Street Blues	00
I Ain't Got Nothin' But The Blues - Duke Ellington & Don George	00
I Can Dream, Can't I	00
I Don't Caribe	00
I Don't Know	00
I Don't Know Why	00
I Don't Stand A Ghost Of A Chance With You	00
I Don't Want To Cry Anymore - Victor Schertzinger	00
I Don't Want To Join The Army	00
I Don't Want To Set The World On Fire	00
I Got The Sun In The Morning - Irving Berlin	00
I Gotta Right To Sing The Blues	00
I Had The Craziest Dream	00
I Have Dreamed	00
I Left My Sugar Standing In The Rain	00
I Love My Love In The Morning - Gerald Griffin	00
I'll See You In My Dreams	00
I'm A Dreamer, Aren't We All	00
I'm A Lonely Little Petunia	00
I've Got A Right To Sing The Blues	00
Impossible Dream	00
In The Wee Small Hours Of The Morning	00
It Don't Mean A Thing If It Ain't Got That Swing	00
It's 3 O'clock In The Morning	00
Jacaranda Blues	00
Jack-Louis Fours Blues	00
Jackass Blues	00
Jay's Blues	00
Jazz Me Blues	00
Jelly Bean Blues	00
Jimtown Blues	00
Joe Turner Blues - W.C. Handy	00
Kansas City	00
Kansas City Boogie	00
Kansas City Dragin	00
Kansas City Hoppin	00
Kansas City Man Blues	00
Kansas City Miltons	00
Kansas City Orchid Room	00
Kathryn Sings The Blues	00
Lazy Afternoon	00
Limehouse Blues	00
Lonely	00
Lonely People	00
Lonely Shepheard Blues	00
Lonely Woman - Horace Silver	00
Mama Don't Allow No Music In Here	00
Matchbox Blues	00
Matthew's Blues	00
Melancholy Blues	00
Memphis	00
Memphis Blues - W.C. Handy	00
Memphis In June - Hoagy Carmichael	00
Mickey's Blues	00
Mo' Better Blues - Bill Lee	00
Monk's Dream - Thelonious Monk	00
Morning - Clare Fischer	00
Morning Dance	00
Morning Star	00
My Isle Of Golden Dreams	00
Never On Sundays	00
New Blues - John Coltrane	00
New Stranger Blues	00
Nica's Dream	00
Night Dreamer	00
Night Time - Duke Ellington, Billy Strayhorn & Julian	00
No Name Blues - Oliver Gannon	00
Non Dimenticar [Don't Forget]	00
Ophelia	00
Paris Blues - Duke Ellington	00
Parking Lot Blues	00
Passing Chord Blues	00
People - Jule Styne & Bob Merrill	00
People Like You And Me - Glen Miller	00
People Will Say We're In Love	00
Pete Kelly's Blues	00
Pete's Blues	00
